,Unnamed: 0,date,id,nama,umur,id_produk,produk,brand,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,rekomendasi,warna_kulit,tone_kulit
0,0,2021-12-07T13:58:02.000Z,707114,nisrinamaharatul,18 and Under,7668,UV Shield Essential Sunscreen Gel SPF 30 PA+++,Wardah,3.2,(7663),Guardian,Sun Protection,Moisturizer,Combination,3 months - 6 months,n,3,nisrinamaharatul recommends this product!,Medium Dark,Warm
1,1,2021-12-07T13:58:00.000Z,956992,yurisfiestaria,19 - 24,74402,Ultralight Hydraglow Day Cream,Azarine Cosmetics,4.9,(880),youtube,Day Cream,Moisturizer,Normal,Less than 1 week,y,5,yurisfiestaria recommends this product!,Medium Light,Neutral
2,2,2021-12-07T13:56:39.000Z,86608,riftanti,25 - 29,66116,Cheek and Liptint,Implora,4.3,(101),Shopee,Lip Stain \\u0026 Tint,Lips,Combination,More than 1 year,y,5,riftanti recommends this product!,Medium Light,Cool
3,3,2021-12-07T13:55:58.000Z,675500,maoel__,19 - 24,9669,Water Sleeping Mask,Laneige,4.2,(6541),Shopee,Sleeping Mask,Mask,Oily,Less than 1 week,y,5,maoel__ recommends this product!,Medium Dark,Cool
4,4,2021-12-07T13:54:13.000Z,707114,nisrinamaharatul,18 and Under,68328,Vitamin Body Serum ,Vaseline,4.8,(1123),Brand website,Lotion,Moisturizer,Combination,More than 1 year,n,5,nisrinamaharatul recommends this product!,Medium Dark,Warm
5,5,2021-12-07T13:53:02.000Z,878258,meeratha,18 and Under,62022,Snail Truecica Miracle Repair Toner,Some by Mi,4.1,(585),Shopee,Toner,Cleanser,Combination,1 week - 1 month,n,5,meeratha recommends this product!,Medium,Cool
6,6,2021-12-07T13:52:49.000Z,661338,winnywitana,30 - 34,19325,Vanilla & Raspberry Body Mist,Original Source,4.5,(680),Alfamart,"EDC, Body Mist \\u0026 Spray",Fragrance,Combination,1 month - 3 months,y,4,winnywitana recommends this product!,Medium Light,Warm
7,7,2021-12-07T13:51:20.000Z,878258,meeratha,18 and Under,62244,Snail Truecica Miracle Repair Low pH Gel Cleanser,Some by Mi,4.2,(114),Shopee,Facial Wash,Cleanser,Combination,1 week - 1 month,n,4,meeratha recommends this product!,Medium,Cool
8,8,2021-12-07T13:49:01.000Z,878258,meeratha,18 and Under,53284,Snail Truecica Miracle Repair Serum,Some by Mi,4,(2557),Shopee,Serum \\u0026 Essence,Treatment,Combination,3 months - 6 months,n,5,meeratha recommends this product!,Medium,Cool
9,9,2021-12-07T13:47:40.000Z,959777,hanumsll07,18 and Under,84056,Oil Free Brightening Daily Moisturizer,Azarine Cosmetics,4.9,(1089),Brand website,Lotion \\u0026 Emulsion,Moisturizer,Oily,Less than 1 week,y,5,hanumsll07 recommends this product!,Medium Dark,Neutral
10,10,2021-12-07T13:46:05.000Z,913134,helsahunter,30 - 34,82453,Tea Tree In-Control Hydrator,The Body Shop,4.5,(2),Shopee,Day Cream,Moisturizer,Combination,1 month - 3 months,y,3,helsahunter doesn't recommend this product! ,Light,Warm
11,11,2021-12-07T13:44:07.000Z,934926,malisabella_17,30 - 34,89337,Noni Probiotics “Balance Me” Fine Toner,N'pure,5,(2),Tokopedia,Toner,Cleanser,Normal,1 week - 1 month,n,5,malisabella_17 recommends this product!,Medium Light,Neutral
12,12,2021-12-07T13:44:02.000Z,878258,meeratha,18 and Under,81038,Skin Barrier Water Cream,Dear Me Beauty,4.6,(428),Shopee,Day Cream,Moisturizer,Combination,1 month - 3 months,y,5,meeratha recommends this product!,Medium,Cool
13,13,2021-12-07T13:40:53.000Z,913134,helsahunter,30 - 34,22314,Bija Trouble Skin,Innisfree,4,(173),Shopee,Toner,Cleanser,Combination,More than 1 year,y,5,helsahunter recommends this product!,Light,Warm
14,14,2021-12-07T13:38:53.000Z,956992,yurisfiestaria,19 - 24,66267,C White Lightening Serum,Azarine Cosmetics,4.8,(2432),FD Try and Review,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,y,5,yurisfiestaria recommends this product!,Medium Light,Neutral
15,15,2021-12-07T13:38:51.000Z,560631,DhoryMo,19 - 24,82789,Ocean Superfood Body Oil Serum,basicskincare,4.9,(36),Shopee,Oil ,Moisturizer,Oily,1 week - 1 month,y,5,DhoryMo recommends this product!,Medium,Warm
16,16,2021-12-07T13:35:43.000Z,913134,helsahunter,30 - 34,70686,Fresh Calming Trial Kit,Laneige,4.8,(5),Gift,Facial Wash,Cleanser,Combination,1 week - 1 month,y,3,helsahunter doesn't recommend this product! ,Light,Warm
17,17,2021-12-07T13:34:43.000Z,279223,florennll,19 - 24,87421,Physical Sunscreen,Glowlabs,4.9,(16),Shopee,Sun Protection,Moisturizer,Dry,1 month - 3 months,n,5,florennll recommends this product!,Medium,Warm
18,18,2021-12-07T13:33:20.000Z,279223,florennll,19 - 24,76073,Luxurious Facial Oil Serum,Bio Beauty Lab,4.5,(326),Shopee,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,n,5,florennll recommends this product!,Medium,Warm
19,19,2021-12-07T13:31:47.000Z,913134,helsahunter,30 - 34,26544,Fresh Calming Gel Cleanser,Laneige,3.9,(139),Gift,Facial Wash,Cleanser,Combination,1 week - 1 month,y,2,helsahunter doesn't recommend this product! ,Light,Warm
20,20,2021-12-07T13:30:55.000Z,986876,jumi109,19 - 24,84056,Oil Free Brightening Daily Moisturizer,Azarine Cosmetics,4.9,(1088),Instagram,Lotion \\u0026 Emulsion,Moisturizer,Oily,Less than 1 week,y,4,jumi109 recommends this product!,Medium Light,Neutral
21,21,2021-12-07T13:30:48.000Z,279223,florennll,19 - 24,87849,Daily Light Moisturizer,BIYU ,5,(97),Shopee,Lotion \\u0026 Emulsion,Moisturizer,Dry,1 month - 3 months,n,5,florennll recommends this product!,Medium,Warm
22,22,2021-12-07T13:30:38.000Z,560631,DhoryMo,19 - 24,82788,Ocean Superfood Face Oil Serum,basicskincare,4.8,(47),Shopee,Face Oil ,Moisturizer,Oily,Less than 1 week,y,5,DhoryMo recommends this product!,Medium,Warm
23,23,2021-12-07T13:30:13.000Z,950129,meloveyou,25 - 29,89388,Silky Velvet Lip Cream,Pinkflash,4.1,(277),Shopee,Lipstick,Lips,Oily,Less than 1 week,y,4,meloveyou recommends this product!,Medium Light,Warm
24,24,2021-12-07T13:28:55.000Z,913134,helsahunter,30 - 34,26357,Fresh Calming Toner,Laneige,5,(1),Gift,Toner,Cleanser,Combination,1 week - 1 month,y,3,helsahunter recommends this product!,Light,Warm
25,25,2021-12-07T13:27:32.000Z,904615,endennuraeni,25 - 29,89347,MicellAIR Skin Breathe Oil & Acne Care Micellar Water,NIVEA,4.7,(3),PR Package,Face,Makeup Remover,Oily,1 week - 1 month,y,5,endennuraeni recommends this product!,Medium,Neutral
26,26,2021-12-07T13:27:31.000Z,895715,Aisyah_18,19 - 24,84152,Hair Vitamin 3 in 1 Mist,Sunsilk,5,(40),Alfamart,Hair Spray,Styling \\u0026 Colour,Oily,Less than 1 week,n,5,Aisyah_18 recommends this product!,Light,Neutral
27,27,2021-12-07T13:27:11.000Z,937496,silviaadrianii,19 - 24,81621,Ultra Satin Cushion,Baby Pink Skincare,4.1,(153),Shopee,Powder,Foundation,Normal,1 week - 1 month,y,5,silviaadrianii recommends this product!,Medium,Neutral
28,28,2021-12-07T13:26:10.000Z,913134,helsahunter,30 - 34,26358,Fresh Calming Serum,Laneige,4.9,(24),Gift,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,y,4,helsahunter recommends this product!,Light,Warm
29,29,2021-12-07T13:22:44.000Z,677947,pratiwisaraswati,19 - 24,84857,Rescue RX mist,Studio Tropik,4.1,(112),Shopee,Face Mist,Moisturizer,Combination,1 week - 1 month,y,4,pratiwisaraswati recommends this product!,Medium,Neutral
30,30,2021-12-07T13:20:53.000Z,913134,helsahunter,30 - 34,1664,Sensibio Tonique ,Bioderma,4.9,(1087),Shopee,Toner,Cleanser,Combination,6 months - 1 year,y,4,helsahunter recommends this product!,Light,Warm
31,31,2021-12-07T13:20:38.000Z,939592,wiwi_indahlestari,25 - 29,84056,Oil Free Brightening Daily Moisturizer,Azarine Cosmetics,3.5,(19),Official Brand Store,Lotion \\u0026 Emulsion,Moisturizer,Normal,1 week - 1 month,y,5,wiwi_indahlestari recommends this product!,Light,Neutral
32,32,2021-12-07T13:19:40.000Z,950129,meloveyou,25 - 29,87813,Lasting Glossy Lipgloss,Pinkflash,3.8,(373),Shopee,Lip Gloss,Lips,Oily,Less than 1 week,y,4,meloveyou recommends this product!,Medium Light,Warm
33,33,2021-12-07T13:18:44.000Z,848242,Rizqalita,30 - 34,18222,Meet Matt(e) Hughes Long-Lasting Liquid Lipstick,theBalm,4.3,(211),Instagram,Lipstick,Lips,Combination,More than 1 year,n,3,Rizqalita doesn't recommend this product! ,Medium,Neutral
34,34,2021-12-07T13:17:55.000Z,677947,pratiwisaraswati,19 - 24,53320,Eye on Diet Eye Cream,Joylab ,5,(2),Shopee,Eye Cream,Eye Treatment,Combination,1 week - 1 month,y,4,pratiwisaraswati recommends this product!,Medium,Neutral
35,35,2021-12-07T13:16:35.000Z,982970,gcallulapk,18 and Under,83819,Niacinamide Barrier Serum,Somethinc,4.8,(41),Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,y,5,gcallulapk recommends this product!,Medium Dark,Warm
36,36,2021-12-07T13:16:34.000Z,950129,meloveyou,25 - 29,85237,Oh My Gloss,Pinkflash,4.9,(135),Shopee,Lip Gloss,Lips,Oily,Less than 1 week,y,3,meloveyou doesn't recommend this product! ,Medium Light,Warm
37,37,2021-12-07T13:15:49.000Z,910018,elelfy,19 - 24,82361,Hyaluronic Acid + Pomegranate Extract Face Serum,Dear Me Beauty,4,(3894),Tokopedia,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,y,5,elelfy recommends this product!,Medium Light,Neutral
38,38,2021-12-07T13:11:29.000Z,840447,Musthika,25 - 29,87301,Cushion Matte Lip Cream,Maybelline,5,(29),Sample,Lipstick,Lips,Oily,1 week - 1 month,y,5,Musthika recommends this product!,Medium,Warm
39,39,2021-12-07T13:10:30.000Z,913134,helsahunter,30 - 34,6274,AHA/BHA Clarifying Treatment Toner,Cosrx,4.8,(1122),Shopee,Toner,Cleanser,Combination,1 month - 3 months,y,3,helsahunter doesn't recommend this product! ,Light,Warm
40,40,2021-12-07T13:09:27.000Z,986873,Verachen,25 - 29,78929,Flawless Finish Perfecting Loose Powder ,BSKIN,4,(249),Brand website,Loose,Powder,Dry,Less than 1 week,y,5,Verachen recommends this product!,Medium Light,Neutral
